,amenity
0,bench
1,toilets
2,cafe
3,fast_food
4,bbq
5,place_of_worship
6,fuel
7,drinking_water
8,parking
9,library
10,bank
11,pharmacy
12,restaurant
13,post_box
14,telephone
15,pub
16,bicycle_parking
17,vending_machine
18,parking_entrance
19,school
20,public_building
21,waste_basket
22,hospital
23,recycling
24,waste_disposal
25,car_wash
26,dentist
27,doctors
28,post_office
29,atm
30,childcare
31,bar
32,ice_cream
33,cinema
34,theatre
35,ferry_terminal
36,car_rental
37,shelter
38,car_sharing
39,bicycle_rental
40,clinic
41,public_bookcase
42,university
43,dojo
44,kindergarten
45,community_centre
46,seaplane terminal
47,arts_centre
48,fountain
49,bus_station
50,veterinary
51,bicycle_repair_station
52,charging_station
53,nightclub
54,Pharmacy
55,nursery
56,clock
57,bureau_de_change
58,taxi
59,social_facility
60,college
61,photo_booth
62,luggage_locker
63,food_court
64,internet_cafe
65,shower
66,stripclub
67,marketplace
68,conference_centre
69,motorcycle_parking
70,police
71,compressed_air
72,family_centre
73,bistro
74,gambling
75,fire_station
76,spa
77,playground
78,trolley_bay
79,events_venue
80,prep_school
81,meditation_centre
82,townhall
83,embassy
84,scrapyard
85,parking_space
86,construction
87,healthcare
88,courthouse
89,sanitary_dump_station
90,studio
91,driving_school
92,juice_bar
93,science
94,ATLAS_clean_room
95,workshop
96,safety
97,lobby
98,vacuum_cleaner
99,boat_rental
100,language_school
101,cram_school
102,gym
103,shoe_repair
104,social_centre
105,monastery
106,casino
107,park
108,watering_place
109,EVSE
110,smoking_area
111,payment_terminal
112,disused:restaurant
113,music_school
114,atm;bank
115,Observation Platform
116,water_point
117,trash
118,lounge
119,animal_shelter
120,chiropractor
121,waste_transfer_station
122,training
123,storage
124,housing co-op
125,hunting_stand
126,biergarten
127,car_rep
128,leisure
